Date,State,Confirmed,Deceased,Recovered
2020-03-19,West Bengal,0,0,0
2020-03-20,Andaman and Nicobar Islands,0,0,0
2020-03-20,Andhra Pradesh,0,0,0
2020-03-20,Arunachal Pradesh,0,0,0
2020-03-20,Assam,0,0,0
2020-03-20,Bihar,0,0,0
2020-03-20,Chandigarh,4,0,0
2020-03-20,Chhattisgarh,0,0,0
2020-03-20,DD,0,0,0
2020-03-20,Dadra and Nagar Haveli and Daman and Diu,0,0,0
2020-03-20,Delhi,6,0,2
2020-03-20,Goa,0,0,0
2020-03-20,Gujarat,5,0,0
2020-03-20,Haryana,2,0,0
2020-03-20,Himachal Pradesh,2,0,0
2020-03-20,Jammu and Kashmir,0,0,0
2020-03-20,Jharkhand,0,0,0
2020-03-20,Karnataka,0,0,1
2020-03-20,Kerala,12,0,0
2020-03-20,Ladakh,2,0,0
2020-03-20,Lakshadweep,0,0,0
2020-03-20,Madhya Pradesh,4,0,0
2020-03-20,Maharashtra,4,0,0
2020-03-20,Manipur,0,0,0
2020-03-20,Meghalaya,0,0,0
2020-03-20,Mizoram,0,0,0
2020-03-20,Nagaland,0,0,0
2020-03-20,Odisha,0,0,0
2020-03-20,Puducherry,0,0,0
2020-03-20,Punjab,1,0,0
2020-03-20,Rajasthan,8,0,0
2020-03-20,Sikkim,0,0,0
2020-03-20,State Unassigned,0,0,0
2020-03-20,Tamil Nadu,0,0,0
2020-03-20,Telangana,3,0,0
2020-03-20,Total,58,0,3
2020-03-20,Tripura,0,0,0
2020-03-20,Uttar Pradesh,4,0,0
2020-03-20,Uttarakhand,0,0,0
2020-03-20,West Bengal,1,0,0
2020-03-21,Andaman and Nicobar Islands,0,0,0
2020-03-21,Andhra Pradesh,2,0,0
2020-03-21,Arunachal Pradesh,0,0,0
2020-03-21,Assam,0,0,0
2020-03-21,Bihar,0,0,0
2020-03-21,Chandigarh,0,0,0
2020-03-21,Chhattisgarh,0,0,0
2020-03-21,DD,0,0,0
2020-03-21,Dadra and Nagar Haveli and Daman and Diu,0,0,0
2020-03-21,Delhi,7,0,0
2020-03-21,Goa,0,0,0
2020-03-21,Gujarat,7,0,0
2020-03-21,Haryana,2,0,0
2020-03-21,Himachal Pradesh,0,0,0
2020-03-21,Jammu and Kashmir,0,0,0
2020-03-21,Jharkhand,0,0,0
2020-03-21,Karnataka,5,0,0
2020-03-21,Kerala,12,0,0
2020-03-21,Ladakh,3,0,0
2020-03-21,Lakshadweep,0,0,0
2020-03-21,Madhya Pradesh,0,0,0
2020-03-21,Maharashtra,12,0,0
2020-03-21,Manipur,0,0,0
2020-03-21,Meghalaya,0,0,0
2020-03-21,Mizoram,0,0,0
2020-03-21,Nagaland,0,0,0
2020-03-21,Odisha,0,0,0
2020-03-21,Puducherry,0,0,0
2020-03-21,Punjab,10,0,0
2020-03-21,Rajasthan,7,0,0
2020-03-21,Sikkim,0,0,0
2020-03-21,State Unassigned,0,0,0
2020-03-21,Tamil Nadu,3,0,0
2020-03-21,Telangana,2,0,0
2020-03-21,Total,78,0,0
2020-03-21,Tripura,0,0,0
2020-03-21,Uttar Pradesh,4,0,0
2020-03-21,Uttarakhand,0,0,0
2020-03-21,West Bengal,2,0,0
2020-03-22,Andaman and Nicobar Islands,0,0,0
2020-03-22,Andhra Pradesh,1,0,0
2020-03-22,Arunachal Pradesh,0,0,0
2020-03-22,Assam,0,0,0
2020-03-22,Bihar,2,1,0
2020-03-22,Chandigarh,1,0,0
2020-03-22,Chhattisgarh,0,0,0
2020-03-22,DD,0,0,0
2020-03-22,Dadra and Nagar Haveli and Daman and Diu,0,0,0
2020-03-22,Delhi,0,0,0
2020-03-22,Goa,0,0,0
2020-03-22,Gujarat,4,1,0
2020-03-22,Haryana,0,0,0
2020-03-22,Himachal Pradesh,0,0,0
2020-03-22,Jammu and Kashmir,0,0,0
2020-03-22,Jharkhand,0,0,0
2020-03-22,Karnataka,6,0,0
2020-03-22,Kerala,15,0,0
2020-03-22,Ladakh,0,0,0
2020-03-22,Lakshadweep,0,0,0
2020-03-22,Madhya Pradesh,2,0,0
2020-03-22,Maharashtra,10,1,0
2020-03-22,Manipur,0,0,0
2020-03-22,Meghalaya,0,0,0
2020-03-22,Mizoram,0,0,0
2020-03-22,Nagaland,0,0,0
2020-03-22,Odisha,0,0,0
2020-03-22,Puducherry,0,0,0
2020-03-22,Punjab,8,0,0
2020-03-22,Rajasthan,4,0,0
2020-03-22,Sikkim,0,0,0
2020-03-22,State Unassigned,0,0,0
2020-03-22,Tamil Nadu,3,0,0
2020-03-22,Telangana,6,0,0
2020-03-22,Total,67,3,0
2020-03-22,Tripura,0,0,0
2020-03-22,Uttar Pradesh,2,0,0
2020-03-22,Uttarakhand,0,0,0
2020-03-22,West Bengal,3,0,0
2020-03-23,Andaman and Nicobar Islands,0,0,0
2020-03-23,Andhra Pradesh,1,0,0
2020-03-23,Arunachal Pradesh,0,0,0
2020-03-23,Assam,0,0,0
2020-03-23,Bihar,1,0,0
2020-03-23,Chandigarh,1,0,0
2020-03-23,Chhattisgarh,0,0,0
2020-03-23,DD,0,0,0
2020-03-23,Dadra and Nagar Haveli and Daman and Diu,0,0,0
2020-03-23,Delhi,3,0,0
2020-03-23,Goa,0,0,0
2020-03-23,Gujarat,12,0,0
2020-03-23,Haryana,7,0,11
2020-03-23,Himachal Pradesh,1,1,0
2020-03-23,Jammu and Kashmir,0,0,0
2020-03-23,Jharkhand,0,0,0
2020-03-23,Karnataka,7,0,1
2020-03-23,Kerala,28,0,0
2020-03-23,Ladakh,0,0,0
2020-03-23,Lakshadweep,0,0,0
2020-03-23,Madhya Pradesh,0,0,0
2020-03-23,Maharashtra,23,0,0
2020-03-23,Manipur,0,0,0
2020-03-23,Meghalaya,0,0,0
2020-03-23,Mizoram,0,0,0
2020-03-23,Nagaland,0,0,0
2020-03-23,Odisha,0,0,0
2020-03-23,Puducherry,0,0,0
2020-03-23,Punjab,2,0,0
2020-03-23,Rajasthan,4,0,0
2020-03-23,Sikkim,0,0,0
2020-03-23,State Unassigned,0,0,0
2020-03-23,Tamil Nadu,3,0,0
2020-03-23,Telangana,6,0,0
2020-03-23,Total,102,2,12
2020-03-23,Tripura,0,0,0
2020-03-23,Uttar Pradesh,2,0,0
2020-03-23,Uttarakhand,1,0,0
2020-03-23,West Bengal,0,1,0
2020-03-24,Andaman and Nicobar Islands,0,0,0
2020-03-24,Andhra Pradesh,1,0,0
2020-03-24,Arunachal Pradesh,0,0,0
2020-03-24,Assam,0,0,0
2020-03-24,Bihar,0,0,0
2020-03-24,Chandigarh,0,0,0
2020-03-24,Chhattisgarh,0,0,0
2020-03-24,DD,0,0,0
2020-03-24,Dadra and Nagar Haveli and Daman and Diu,0,0,0
2020-03-24,Delhi,0,0,1
2020-03-24,Goa,0,0,0
2020-03-24,Gujarat,4,0,0
2020-03-24,Haryana,2,0,0
2020-03-24,Himachal Pradesh,0,0,0
2020-03-24,Jammu and Kashmir,2,0,0
2020-03-24,Jharkhand,0,0,0
2020-03-24,Karnataka,8,0,1
2020-03-24,Kerala,14,0,1
2020-03-24,Ladakh,0,0,0
2020-03-24,Lakshadweep,0,0,0
2020-03-24,Madhya Pradesh,1,0,0
2020-03-24,Maharashtra,10,0,0
2020-03-24,Manipur,1,0,0
2020-03-24,Meghalaya,0,0,0
2020-03-24,Mizoram,0,0,0
2020-03-24,Nagaland,0,0,0
2020-03-24,Odisha,0,0,0
2020-03-24,Puducherry,0,0,0
2020-03-24,Punjab,6,0,0
2020-03-24,Rajasthan,0,0,0
2020-03-24,Sikkim,0,0,0
2020-03-24,State Unassigned,0,0,0
2020-03-24,Tamil Nadu,6,1,0
2020-03-24,Telangana,4,0,0
2020-03-24,Total,64,1,5
2020-03-24,Tripura,0,0,0
2020-03-24,Uttar Pradesh,3,0,2
2020-03-24,Uttarakhand,0,0,0
2020-03-24,West Bengal,2,0,0
2020-03-25,Andaman and Nicobar Islands,0,0,0
2020-03-25,Andhra Pradesh,2,0,1
2020-03-25,Arunachal Pradesh,0,0,0
2020-03-25,Assam,0,0,0
2020-03-25,Bihar,1,0,0
2020-03-25,Chandigarh,0,0,0
2020-03-25,Chhattisgarh,2,0,0
2020-03-25,DD,0,0,0
2020-03-25,Dadra and Nagar Haveli and Daman and Diu,0,0,0
2020-03-25,Delhi,5,0,0
2020-03-25,Goa,3,0,0
2020-03-25,Gujarat,4,0,0
2020-03-25,Haryana,1,0,0
2020-03-25,Himachal Pradesh,0,0,0
2020-03-25,Jammu and Kashmir,5,0,1
2020-03-25,Jharkhand,0,0,0
2020-03-25,Karnataka,10,0,0
2020-03-25,Kerala,9,0,0
2020-03-25,Ladakh,0,0,0
2020-03-25,Lakshadweep,0,0,0
2020-03-25,Madhya Pradesh,8,1,0
2020-03-25,Maharashtra,15,0,1
2020-03-25,Manipur,0,0,0
2020-03-25,Meghalaya,0,0,0
2020-03-25,Mizoram,1,0,0
2020-03-25,Nagaland,0,0,0
2020-03-25,Odisha,0,0,0
2020-03-25,Puducherry,0,0,0
2020-03-25,Punjab,2,0,0
2020-03-25,Rajasthan,6,0,0
2020-03-25,Sikkim,0,0,0
2020-03-25,State Unassigned,0,0,0
2020-03-25,Tamil Nadu,8,0,0
2020-03-25,Telangana,4,0,0
2020-03-25,Total,90,1,3
2020-03-25,Tripura,0,0,0
2020-03-25,Uttar Pradesh,3,0,0
2020-03-25,Uttarakhand,1,0,0
2020-03-25,West Bengal,0,0,0
2020-03-26,Andaman and Nicobar Islands,1,0,0
2020-03-26,Andhra Pradesh,1,0,0
2020-03-26,Arunachal Pradesh,0,0,0
2020-03-26,Assam,0,0,0
2020-03-26,Bihar,3,0,0
2020-03-26,Chandigarh,0,0,0
2020-03-26,Chhattisgarh,3,0,0
2020-03-26,DD,0,0,0
2020-03-26,Dadra and Nagar Haveli and Daman and Diu,0,0,0
2020-03-26,Delhi,1,0,0
2020-03-26,Goa,0,0,0
2020-03-26,Gujarat,5,2,0
2020-03-26,Haryana,1,0,0
2020-03-26,Himachal Pradesh,0,0,0
2020-03-26,Jammu and Kashmir,3,1,0
2020-03-26,Jharkhand,0,0,0
2020-03-26,Karnataka,4,1,0
2020-03-26,Kerala,19,0,7
2020-03-26,Ladakh,0,0,0
2020-03-26,Lakshadweep,0,0,0
2020-03-26,Madhya Pradesh,5,0,0
2020-03-26,Maharashtra,3,1,0
2020-03-26,Manipur,0,0,0
2020-03-26,Meghalaya,0,0,0
2020-03-26,Mizoram,0,0,0
2020-03-26,Nagaland,0,0,0
2020-03-26,Odisha,1,0,0
2020-03-26,Puducherry,0,0,0
2020-03-26,Punjab,2,0,0
2020-03-26,Rajasthan,2,0,0
2020-03-26,Sikkim,0,0,0
2020-03-26,State Unassigned,0,0,0
2020-03-26,Tamil Nadu,3,0,0
2020-03-26,Telangana,3,0,0
2020-03-26,Total,65,5,7
2020-03-26,Tripura,0,0,0
2020-03-26,Uttar Pradesh,4,0,0
2020-03-26,Uttarakhand,0,0,0
2020-03-26,West Bengal,1,0,0
2020-03-27,Andaman and Nicobar Islands,5,0,0
2020-03-27,Andhra Pradesh,2,0,0
2020-03-27,Arunachal Pradesh,0,0,0
2020-03-27,Assam,0,0,0
2020-03-27,Bihar,2,0,0
2020-03-27,Chandigarh,1,0,0
2020-03-27,Chhattisgarh,0,0,0
2020-03-27,DD,0,0,0
2020-03-27,Dadra and Nagar Haveli and Daman and Diu,0,0,0
2020-03-27,Delhi,4,0,0
2020-03-27,Goa,0,0,0
2020-03-27,Gujarat,4,0,0
2020-03-27,Haryana,1,0,0
2020-03-27,Himachal Pradesh,0,0,1
2020-03-27,Jammu and Kashmir,6,0,0
2020-03-27,Jharkhand,0,0,0
2020-03-27,Karnataka,9,1,2
2020-03-27,Kerala,39,0,0
2020-03-27,Ladakh,0,0,3
2020-03-27,Lakshadweep,0,0,0
2020-03-27,Madhya Pradesh,9,1,0
2020-03-27,Maharashtra,31,1,18
2020-03-27,Manipur,0,0,0
2020-03-27,Meghalaya,0,0,0
2020-03-27,Mizoram,0,0,0
2020-03-27,Nagaland,0,0,0
2020-03-27,Odisha,0,0,0
2020-03-27,Puducherry,0,0,0
2020-03-27,Punjab,5,0,1
2020-03-27,Rajasthan,10,0,0
2020-03-27,Sikkim,0,0,0
2020-03-27,State Unassigned,0,0,0
2020-03-27,Tamil Nadu,9,0,1
2020-03-27,Telangana,15,0,0
2020-03-27,Total,164,3,26
2020-03-27,Tripura,0,0,0
2020-03-27,Uttar Pradesh,7,0,0
2020-03-27,Uttarakhand,0,0,0
2020-03-27,West Bengal,5,0,0
2020-03-28,Andaman and Nicobar Islands,3,0,0
2020-03-28,Andhra Pradesh,6,0,0
2020-03-28,Arunachal Pradesh,0,0,0
2020-03-28,Assam,0,0,0
2020-03-28,Bihar,2,0,0
2020-03-28,Chandigarh,0,0,0
2020-03-28,Chhattisgarh,1,0,0
2020-03-28,DD,0,0,0
2020-03-28,Dadra and Nagar Haveli and Daman and Diu,0,0,0
2020-03-28,Delhi,9,0,0
2020-03-28,Goa,0,0,0
2020-03-28,Gujarat,8,1,0
2020-03-28,Haryana,2,0,0
2020-03-28,Himachal Pradesh,0,0,1
2020-03-28,Jammu and Kashmir,13,0,0
2020-03-28,Jharkhand,0,0,0
2020-03-28,Karnataka,17,0,0
2020-03-28,Kerala,6,1,1
2020-03-28,Ladakh,0,0,0
2020-03-28,Lakshadweep,0,0,0
2020-03-28,Madhya Pradesh,10,0,0
2020-03-28,Maharashtra,30,2,6
2020-03-28,Manipur,0,0,0
2020-03-28,Meghalaya,0,0,0
2020-03-28,Mizoram,0,0,0
2020-03-28,Nagaland,0,0,0
2020-03-28,Odisha,0,0,0
2020-03-28,Puducherry,0,0,0
2020-03-28,Punjab,0,0,0
2020-03-28,Rajasthan,4,0,0
2020-03-28,Sikkim,0,0,0
2020-03-28,State Unassigned,0,0,0
2020-03-28,Tamil Nadu,4,0,0
2020-03-28,Telangana,8,1,0
2020-03-28,Total,143,5,9
2020-03-28,Tripura,0,0,0
2020-03-28,Uttar Pradesh,16,0,0
2020-03-28,Uttarakhand,1,0,1
2020-03-28,West Bengal,3,0,0
2020-03-29,Andaman and Nicobar Islands,0,0,0
2020-03-29,Andhra Pradesh,2,0,0
2020-03-29,Arunachal Pradesh,0,0,0
2020-03-29,Assam,0,0,0
2020-03-29,Bihar,4,0,0
2020-03-29,Chandigarh,0,0,0
2020-03-29,Chhattisgarh,0,0,0
2020-03-29,DD,0,0,0
2020-03-29,Dadra and Nagar Haveli and Daman and Diu,0,0,0
2020-03-29,Delhi,23,1,0
2020-03-29,Goa,2,0,0
2020-03-29,Gujarat,8,1,1
2020-03-29,Haryana,0,0,0
2020-03-29,Himachal Pradesh,0,0,0
2020-03-29,Jammu and Kashmir,5,0,0
2020-03-29,Jharkhand,0,0,0
2020-03-29,Karnataka,2,0,0
2020-03-29,Kerala,20,0,4
2020-03-29,Ladakh,0,0,0
2020-03-29,Lakshadweep,0,0,0
2020-03-29,Madhya Pradesh,0,0,0
2020-03-29,Maharashtra,17,1,0
2020-03-29,Manipur,0,0,0
2020-03-29,Meghalaya,0,0,0
2020-03-29,Mizoram,0,0,0
2020-03-29,Nagaland,0,0,0
2020-03-29,Odisha,0,0,0
2020-03-29,Puducherry,0,0,0
2020-03-29,Punjab,0,0,0
2020-03-29,Rajasthan,5,0,0
2020-03-29,Sikkim,0,0,0
2020-03-29,State Unassigned,0,0,0
2020-03-29,Tamil Nadu,8,0,0
2020-03-29,Telangana,3,0,0
2020-03-29,Total,110,3,5
2020-03-29,Tripura,0,0,0
2020-03-29,Uttar Pradesh,7,0,0
2020-03-29,Uttarakhand,1,0,0
2020-03-29,West Bengal,3,0,0
2020-03-30,Andaman and Nicobar Islands,1,0,0
2020-03-30,Andhra Pradesh,2,0,0
2020-03-30,Arunachal Pradesh,0,0,0
2020-03-30,Assam,0,0,0
2020-03-30,Bihar,0,0,0
2020-03-30,Chandigarh,5,0,0
2020-03-30,Chhattisgarh,1,0,0
2020-03-30,DD,0,0,0
2020-03-30,Dadra and Nagar Haveli and Daman and Diu,0,0,0
2020-03-30,Delhi,25,0,0
2020-03-30,Goa,0,0,0
2020-03-30,Gujarat,7,1,2
2020-03-30,Haryana,1,0,6
2020-03-30,Himachal Pradesh,0,0,0
2020-03-30,Jammu and Kashmir,11,0,0
2020-03-30,Jharkhand,0,0,0
2020-03-30,Karnataka,5,0,1
2020-03-30,Kerala,32,0,4
2020-03-30,Ladakh,0,0,0
2020-03-30,Lakshadweep,0,0,0
2020-03-30,Madhya Pradesh,8,2,0
2020-03-30,Maharashtra,17,2,14
2020-03-30,Manipur,0,0,0
2020-03-30,Meghalaya,0,0,0
2020-03-30,Mizoram,0,0,0
2020-03-30,Nagaland,0,0,0
2020-03-30,Odisha,0,0,0
2020-03-30,Puducherry,0,0,0
2020-03-30,Punjab,3,2,0
2020-03-30,Rajasthan,20,0,0
2020-03-30,Sikkim,0,0,0
2020-03-30,State Unassigned,0,0,0
2020-03-30,Tamil Nadu,17,0,2
2020-03-30,Telangana,7,5,13
2020-03-30,Total,187,13,49
2020-03-30,Tripura,0,0,0
2020-03-30,Uttar Pradesh,24,0,6
2020-03-30,Uttarakhand,0,0,1
2020-03-30,West Bengal,1,1,0
2020-03-31,Andaman and Nicobar Islands,0,0,0
2020-03-31,Andhra Pradesh,21,0,0
2020-03-31,Arunachal Pradesh,0,0,0
2020-03-31,Assam,1,0,0
2020-03-31,Bihar,6,0,0
2020-03-31,Chandigarh,2,0,0
2020-03-31,Chhattisgarh,1,0,2
2020-03-31,DD,0,0,0
2020-03-31,Dadra and Nagar Haveli and Daman and Diu,0,0,0
2020-03-31,Delhi,23,0,0
2020-03-31,Goa,0,0,0
2020-03-31,Gujarat,4,0,2
2020-03-31,Haryana,7,0,0
2020-03-31,Himachal Pradesh,0,0,0
2020-03-31,Jammu and Kashmir,6,1,0
2020-03-31,Jharkhand,1,0,0
2020-03-31,Karnataka,13,0,2
2020-03-31,Kerala,7,1,4
2020-03-31,Ladakh,0,0,0
2020-03-31,Lakshadweep,0,0,0
2020-03-31,Madhya Pradesh,19,1,0
2020-03-31,Maharashtra,82,1,0
2020-03-31,Manipur,0,0,0
2020-03-31,Meghalaya,0,0,0
2020-03-31,Mizoram,0,0,0
2020-03-31,Nagaland,0,0,0
2020-03-31,Odisha,1,0,0
